,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2021,NFL,Baltimore Ravens,8,5,0,1st of 4,,304,284,20,Harbaugh,,Jackson,Jackson,Andrews,16,5,10,18,29,15,10,32,1.5,-1.1,0.4,-0.3,0.7
2020,NFL,Baltimore Ravens*,11,5,0,2nd of 4,Lost Div,468,303,165,Harbaugh,Jackson,Jackson,Jackson,Brown,7,19,2,7,10,1,10,32,10.3,-2.0,8.3,3.9,4.3
2019,NFL,Baltimore Ravens*,14,2,0,1st of 4,Lost Div,531,282,249,Harbaugh,Jackson,Jackson,Jackson,Andrews,1,2,3,4,6,1,1,32,15.6,0.1,15.6,11.0,4.7
2018,NFL,Baltimore Ravens*,10,6,0,1st of 4,Lost WC,389,287,102,Harbaugh,Mosley,Flacco,Edwards,Brown,13,9,2,1,22,6,1,32,6.4,0.6,7.0,0.6,6.4
2017,NFL,Baltimore Ravens,9,7,0,2nd of 4,,395,303,92,Harbaugh,Mosley,Flacco,Collins,Wallace,9,27,6,12,1,8,21,32,5.8,-2.4,3.4,2.2,1.2
2016,NFL,Baltimore Ravens,8,8,0,2nd of 4,,343,321,22,Harbaugh,Orr,Flacco,West,Wallace,21,17,9,7,9,13,8,32,1.4,0.2,1.5,-1.1,2.6
2015,NFL,Baltimore Ravens,5,11,0,3rd of 4,,328,401,-73,Harbaugh,Yanda,Flacco,Forsett,Aiken,25,14,24,8,30,24,11,32,-4.6,2.6,-1.9,-0.7,-1.2
2014,NFL,Baltimore Ravens*,10,6,0,3rd of 4,Lost Div,409,302,107,Harbaugh,Yanda,Flacco,Forsett,Smith,8,12,6,8,14,6,8,32,6.7,-2.1,4.6,1.8,2.8
2013,NFL,Baltimore Ravens,8,8,0,3rd of 4,,320,352,-32,Harbaugh,Suggs,Flacco,Rice,Smith,25,29,12,12,22,20,23,32,-2.0,-1.5,-3.5,-5.0,1.4
2012,NFL,Baltimore Ravens*,10,6,0,1st of 4,Won SB,398,344,54,Harbaugh,Rice,Flacco,Rice,Boldin,10,16,12,17,8,11,15,32,3.4,-0.5,2.9,1.9,1.0
2011,NFL,Baltimore Ravens*,12,4,0,1st of 4,Lost Conf,378,266,112,Harbaugh,Ngata,Flacco,Rice,Boldin,12,15,3,3,11,5,5,32,7.0,-0.9,6.1,2.6,3.5
2010,NFL,Baltimore Ravens*,12,4,0,2nd of 4,Lost Div,357,270,87,Harbaugh,Ngata,Flacco,Rice,Boldin,16,22,3,10,9,6,15,32,5.4,1.0,6.4,0.9,5.5
2009,NFL,Baltimore Ravens*,9,7,0,2nd of 4,Lost Div,391,261,130,Harbaugh,Rice,Flacco,Rice,Mason,9,13,3,3,4,6,8,32,8.1,-0.7,7.5,2.6,4.9
2008,NFL,Baltimore Ravens*,11,5,0,2nd of 4,Lost Conf,385,244,141,Harbaugh,Lewis,Flacco,McClain,Mason,11,18,3,2,3,1,5,32,8.8,1.0,9.8,4.2,5.6
2007,NFL,Baltimore Ravens,5,11,0,4th of 4,,275,384,-109,Billick,Reed,Boller,McGahee,Mason,24,22,22,6,32,26,16,32,-6.8,0.1,-6.7,-5.0,-1.8
2006,NFL,Baltimore Ravens*,13,3,0,1st of 4,Lost Div,353,201,152,Billick,Thomas,McNair,Lewis,Clayton,12,17,1,1,1,3,6,32,9.5,-0.2,9.3,1.5,7.8
2005,NFL,Baltimore Ravens,6,10,0,3rd of 4,,265,299,-34,Billick,Thomas,Boller,Lewis,Mason,25,24,10,5,28,18,17,32,-2.1,0.3,-1.8,-3.5,1.7
2004,NFL,Baltimore Ravens,9,7,0,2nd of 4,,317,268,49,Billick,Lewis,Boller,Lewis,Taylor,20,31,6,6,5,9,23,32,3.1,3.1,6.1,-0.6,6.8
2003,NFL,Baltimore Ravens*,10,6,0,1st of 4,Lost WC,391,281,110,Billick,Lewis,Boller,Lewis,Heap,8,21,6,3,9,6,10,32,6.9,-0.6,6.3,3.3,3.0
2002,NFL,Baltimore Ravens,7,9,0,3rd of 4,,316,354,-38,Billick,Ogden,Blake,Lewis,Taylor,23,26,19,22,17,22,27,32,-2.4,0.3,-2.1,-1.5,-0.6
2001,NFL,Baltimore Ravens*,10,6,0,2nd of 6,Lost Div,303,265,38,Billick,Lewis,Grbac,Allen,Ismail,18,14,4,2,23,11,4,31,2.4,0.8,3.2,-0.8,4.0
2000,NFL,Baltimore Ravens*,12,4,0,2nd of 6,Won SB,333,165,168,Billick,Lewis,Banks,Lewis,Sharpe,14,16,1,2,1,2,4,31,10.5,-2.5,8.0,0.0,8.0
1999,NFL,Baltimore Ravens,8,8,0,3rd of 6,,324,277,47,Billick,Lewis,Banks,Rhett,Ismail,14,24,6,2,14,11,5,31,2.9,-2.0,0.9,-1.6,2.5
1998,NFL,Baltimore Ravens,6,10,0,4th of 5,,269,335,-66,Marchibroda,Lewis,Harbaugh,Holmes,Lewis,26,26,16,22,23,20,25,30,-4.1,-1.3,-5.4,-5.2,-0.2
1997,NFL,Baltimore Ravens,6,9,1,5th of 5,,326,345,-19,Marchibroda,Ogden,Testaverde,Morris,Alexander,16,9,18,25,23,18,15,30,-1.2,0.6,-0.6,-0.4,-0.2
1996,NFL,Baltimore Ravens,4,12,0,5th of 5,,371,441,-70,Marchibroda,Testaverde,Testaverde,Morris,Jackson,6,3,28,30,27,24,16,30,-4.4,1.4,-2.9,3.9,-6.8